year,population_m,budget_b,forex,unemployment
2000,19.28,,,10.36
2001,19.76,,,9.29
2002,20.25,,,8.58
2003,20.75,,,7.57
2004,21.27,,,6.47
2005,21.81,,,5.54
2006,22.38,,,4.64
2007,22.96,,,4.57
2008,23.56,,,4.66
2009,24.17,,,5.17
2010,24.78,,,5.32
2011,25.39,,,5.91
2012,26,,,6.01
2013,26.61,,,6.43
2014,27.22,,,6.48
2015,27.85,,,6.81
2016,28.48,,,6.77
2017,29.12,,,6.63
2018,29.77,,,6.7
2019,30.42,,,6.78
